term,justiceName,MQscore,MQrank,MQswing.total,case.load,liberal.vote.total,liberal.vote.pct
1946,HHBurton,0.529,7,0,142,62,0.43661971830985913
1946,RHJackson,1.046,9,4,142,58,0.4084507042253521
1946,WODouglas,-1.425,4,2,142,85,0.5985915492957746
1946,FFrankfurter,1.029,8,1,142,60,0.4225352112676056
1946,SFReed,0.294,5,12,142,64,0.4507042253521127
1946,HLBlack,-1.972,1,4,142,90,0.6338028169014085
1946,WBRutledge,-1.434,3,0,142,95,0.6690140845070423
1946,FMurphy,-1.776,2,0,142,99,0.6971830985915493
1946,FMVinson,0.41,6,2,142,66,0.4647887323943662
1947,HHBurton,0.832,7,1,118,52,0.4406779661016949
1947,RHJackson,1.198,9,2,118,43,0.3644067796610169
1947,WODouglas,-1.521,4,1,118,83,0.7033898305084746
1947,FFrankfurter,0.943,8,3,118,53,0.4491525423728814
1947,SFReed,0.539,6,2,118,57,0.4830508474576271
1947,HLBlack,-1.805,1,2,118,89,0.7542372881355932
1947,WBRutledge,-1.761,2,1,118,91,0.7711864406779662
1947,FMurphy,-1.685,3,1,118,90,0.7627118644067796
1947,FMVinson,0.537,5,12,118,58,0.4915254237288136
1948,HHBurton,0.955,8,3,127,48,0.3779527559055118
1948,RHJackson,1.267,9,2,127,38,0.2992125984251969
1948,WODouglas,-1.719,2,2,127,91,0.7165354330708661
1948,FFrankfurter,0.63,5,16,127,52,0.4094488188976378
1948,SFReed,0.709,6,3,127,51,0.4015748031496063
1948,HLBlack,-1.593,3,2,127,86,0.6771653543307087
1948,WBRutledge,-1.839,1,3,127,93,0.7322834645669292
1948,FMurphy,-1.508,4,0,127,85,0.6692913385826772
1948,FMVinson,0.881,7,1,127,50,0.3937007874015748
1949,FMVinson,1.143,8,1,100,41,0.41
1949,HLBlack,-1.545,2,0,100,70,0.7
1949,SFReed,1.142,7,0,100,35,0.35
1949,FFrankfurter,0.337,3,1,100,39,0.39
1949,WODouglas,-1.593,1,1,100,16,0.16
1949,RHJackson,0.813,4,0,100,37,0.37
1949,HHBurton,0.991,5,2,100,40,0.4
1949,TCClark,1.104,6,0,100,36,0.36
1949,SMinton,1.284,9,1,100,40,0.4
1950,SMinton,1.413,9,1,103,41,0.39805825242718446
1950,TCClark,1.129,6,0,103,43,0.4174757281553398
1950,HHBurton,1.004,5,0,103,46,0.44660194174757284
1950,RHJackson,0.772,4,3,103,39,0.3786407766990291
1950,WODouglas,-1.427,2,2,103,65,0.6310679611650486
1950,FFrankfurter,0.234,3,5,103,42,0.4077669902912621
1950,SFReed,1.236,7,0,103,49,0.47572815533980584
1950,HLBlack,-1.495,1,2,103,66,0.6407766990291263
1950,FMVinson,1.292,8,2,103,46,0.44660194174757284
1951,SMinton,1.479,8,0,99,28,0.2828282828282828
1951,TCClark,1.201,6,1,100,31,0.31
1951,HHBurton,0.948,5,0,100,41,0.41
1951,RHJackson,0.714,4,3,100,36,0.36
1951,WODouglas,-1.602,1,1,100,55,0.55
1951,FFrankfurter,0.114,3,2,100,43,0.43
1951,SFReed,1.303,7,0,100,33,0.33
1951,HLBlack,-1.362,2,0,100,66,0.66
1951,FMVinson,1.537,9,4,100,40,0.4
1952,SMinton,1.271,6,0,122,46,0.3770491803278688
1952,TCClark,1.173,5,1,122,41,0.3360655737704918
1952,HHBurton,1.28,7,2,122,45,0.36885245901639346
1952,RHJackson,0.905,4,0,122,38,0.3114754098360656
1952,WODouglas,-2.229,1,1,122,77,0.6311475409836066
1952,FFrankfurter,0.073,3,1,122,52,0.4262295081967213
1952,SFReed,1.377,8,3,122,45,0.36885245901639346
1952,HLBlack,-1.093,2,0,122,88,0.7213114754098361
1952,FMVinson,1.463,9,2,122,43,0.3524590163934426
1953,HLBlack,-1.473,2,0,87,62,0.7126436781609196
1953,WODouglas,-2.932,1,0,87,60,0.6896551724137931
1953,EWarren,0.01,3,4,87,41,0.47126436781609193
1953,TCClark,0.616,5,1,87,40,0.45977011494252873
1953,FFrankfurter,0.372,4,3,87,39,0.4482758620689655
1953,HHBurton,1.347,8,0,87,38,0.4367816091954023
